run,t,x,y,heading,speed,turn_rate,left_spin,right_spin,left_encoder,right_encoder,gyro,left_noise,right_noise,gyro_noise,gyro_bias,severity_left,severity_right,severity_gyro,fault_mode
0,1.44,1.80045,-0.581585,-0.510408,1.42547,-0.159461,14.6135,13.8959,14.4194,13.8678,-0.128025,0.138454,0.135584,0.0100478,0.000628651,0,0.362677,0,bias
0,1.46,1.8253,-0.595552,-0.513597,1.42496,-0.155377,14.5992,13.9,14.7262,13.561,-0.161265,0.138397,0.1356,0.0100466,0.000628651,0,0.362677,0,bias
0,1.48,1.8501,-0.609593,-0.516705,1.42431,-0.151407,14.5838,13.9024,14.7262,13.8678,-0.137112,0.138335,0.13561,0.0100454,0.000628651,0,0.362677,0,bias
0,1.5,1.87485,-0.623703,-0.519733,1.42352,-0.147552,14.5672,13.9032,14.7262,13.8678,-0.151667,0.138269,0.135613,0.0100443,0.000628651,0,0.362677,0,bias
0,1.52,1.89954,-0.637879,-0.522684,1.4226,-0.143816,14.5496,13.9024,14.4194,13.8678,-0.157983,0.138198,0.13561,0.0100431,0.000628651,0,0.362677,0,bias
0,1.54,1.92417,-0.652118,-0.52556,1.42154,-0.140201,14.5309,13.9,14.7262,14.1746,-0.152186,0.138124,0.1356,0.0100421,0.000628651,0,0.362677,0,bias
0,1.56,1.94874,-0.666416,-0.528364,1.42035,-0.136708,14.5111,13.8959,14.4194,13.8678,-0.145757,0.138044,0.135584,0.010041,0.000628651,0,0.362677,0,bias
0,1.58,1.97326,-0.68077,-0.531098,1.41903,-0.133339,14.4903,13.8902,14.1126,13.8678,-0.11969,0.137961,0.135561,0.01004,0.000628651,0,0.362677,0,bias
0,1.6,1.99771,-0.695177,-0.533765,1.41757,-0.130098,14.4684,13.883,14.4194,14.1746,-0.134378,0.137874,0.135532,0.010039,0.000628651,0,0.362677,0,bias
0,1.62,2.0221,-0.709633,-0.536367,1.41598,-0.126985,14.4455,13.8741,14.7262,13.8678,-0.130191,0.137782,0.135496,0.0100381,0.000628651,0,0.362677,0,bias
0,1.64,2.04642,-0.724136,-0.538907,1.41426,-0.124003,14.4216,13.8636,14.7262,13.8678,-0.135632,0.137686,0.135454,0.0100372,0.000628651,0,0.362677,0,bias
0,1.66,2.07068,-0.738682,-0.541387,1.4124,-0.121154,14.3966,13.8514,14.4194,13.8678,-0.109823,0.137587,0.135406,0.0100363,0.000628651,0,0.362677,0,bias
0,1.68,2.09487,-0.753268,-0.54381,1.41042,-0.118438,14.3707,13.8378,14.1126,13.8678,-0.109251,0.137483,0.135351,0.0100355,0.000628651,0,0.362677,0,bias
0,1.7,2.11899,-0.767892,-0.546179,1.40832,-0.115858,14.3438,13.8225,14.1126,13.8678,-0.123565,0.137375,0.13529,0.0100348,0.000628651,0,0.362677,0,bias
0,1.72,2.14305,-0.78255,-0.548496,1.40608,-0.113414,14.316,13.8056,14.7262,13.8678,-0.117332,0.137264,0.135222,0.010034,0.000628651,0,0.362677,0,bias
0,1.74,2.16703,-0.79724,-0.550764,1.40372,-0.111109,14.2872,13.7872,14.1126,13.8678,-0.11054,0.137149,0.135149,0.0100333,0.000628651,0,0.362677,0,bias
0,1.76,2.19093,-0.811959,-0.552986,1.40124,-0.108944,14.2575,13.7672,14.4194,13.8678,-0.110179,0.13703,0.135069,0.0100327,0.000628651,0,0.362677,0,bias
0,1.78,2.21476,-0.826704,-0.555165,1.39863,-0.106919,14.2268,13.7457,14.1126,13.561,-0.0786439,0.136907,0.134983,0.0100321,0.000628651,0,0.362677,0,bias
0,1.8,2.23852,-0.841474,-0.557304,1.3959,-0.105036,14.1953,13.7227,14.4194,13.561,-0.117824,0.136781,0.134891,0.0100315,0.000628651,0,0.362677,0,bias
0,1.82,2.2622,-0.856264,-0.559404,1.39305,-0.103296,14.1629,13.6981,14.1126,13.8678,-0.102319,0.136652,0.134792,0.010031,0.000628651,0,0.362677,0,bias
0,1.84,2.2858,-0.871074,-0.56147,1.39008,-0.101699,14.1296,13.672,14.1126,13.561,-0.0868036,0.136519,0.134688,0.0100305,0.000628651,0,0.362677,0,bias
0,1.86,2.30931,-0.885901,-0.563504,1.387,-0.100247,14.0955,13.6444,14.1126,13.561,-0.101832,0.136382,0.134578,0.0100301,0.000628651,0,0.362677,0,bias
0,1.88,2.33275,-0.900741,-0.565509,1.3838,-0.0989402,14.0606,13.6154,14.1126,13.2542,-0.0971515,0.136242,0.134461,0.0100297,0.000628651,0,0.362677,0,bias
0,1.9,2.3561,-0.915595,-0.567488,1.38049,-0.0977787,14.0249,13.5849,13.8058,13.561,-0.103571,0.136099,0.134339,0.0100293,0.000628651,0,0.362677,0,bias
0,1.92,2.37937,-0.930458,-0.569444,1.37706,-0.0967634,13.9883,13.5529,14.1126,13.561,-0.110519,0.135953,0.134212,0.010029,0.000628651,0,0.362677,0,bias
0,1.94,2.40255,-0.94533,-0.571379,1.37353,-0.0958944,13.951,13.5195,14.1126,13.561,-0.104883,0.135804,0.134078,0.0100288,0.000628651,0,0.362677,0,bias
0,1.96,2.42564,-0.960208,-0.573297,1.36988,-0.0951721,13.913,13.4847,14.1126,13.561,-0.091522,0.135652,0.133939,0.0100286,0.000628651,0,0.362677,0,bias
0,1.98,2.44865,-0.97509,-0.5752,1.36613,-0.0945967,13.8742,13.4485,13.8058,13.561,-0.0819013,0.135497,0.133794,0.0100284,0.000628651,0,0.362677,0,bias
0,2,2.47156,-0.989975,-0.577092,1.36228,-0.0941682,13.8347,13.4109,13.8058,13.561,-0.131369,0.135339,0.133644,0.0100283,0.000628651,0,0.362677,0,bias
0,2.02,2.49438,-1.00486,-0.578976,1.35832,-0.0938865,13.7945,13.372,13.8058,13.561,-0.0947324,0.135178,0.133488,0.0100282,0.000628651,0,0.362677,0,bias
0,2.04,2.5171,-1.01975,-0.580853,1.35427,-0.0937514,13.7536,13.3317,13.8058,13.2542,-0.08899,0.135014,0.133327,0.0100281,0.000628651,0,0.362677,0,bias
0,2.06,2.53973,-1.03463,-0.582728,1.35011,-0.0937628,13.7121,13.2901,13.8058,13.2542,-0.0808021,0.134848,0.133161,0.0100281,0.000628651,0,0.362677,0,bias
0,2.08,2.56226,-1.04951,-0.584604,1.34586,-0.0939203,13.6699,13.2473,13.499,13.561,-0.0915186,0.13468,0.132989,0.0100282,0.000628651,0,0.362677,0,bias
0,2.1,2.5847,-1.06439,-0.586482,1.34151,-0.0942234,13.6271,13.2031,13.499,13.2542,-0.102821,0.134509,0.132812,0.0100283,0.000628651,0,0.362677,0,bias
0,2.12,2.60703,-1.07926,-0.588366,1.33707,-0.0946715,13.5838,13.1577,13.8058,13.2542,-0.0996266,0.134335,0.132631,0.0100284,0.000628651,0,0.362677,0,bias
0,2.14,2.62926,-1.09412,-0.59026,1.33255,-0.0952639,13.5398,13.1111,13.499,13.2542,-0.0850341,0.134159,0.132445,0.0100286,0.000628651,0,0.362677,0,bias
0,2.16,2.65139,-1.10897,-0.592165,1.32793,-0.096,13.4953,13.0633,13.499,13.2542,-0.0991424,0.133981,0.132253,0.0100288,0.000628651,0,0.362677,0,bias
0,2.18,2.67341,-1.12382,-0.594085,1.32323,-0.0968788,13.4503,13.0143,13.499,12.9474,-0.0933012,0.133801,0.132057,0.0100291,0.000628651,0,0.362677,0,bias
0,2.2,2.69533,-1.13865,-0.596023,1.31845,-0.0978994,13.4048,12.9642,13.1922,13.2542,-0.0995768,0.133619,0.131857,0.0100294,0.000628651,0,0.362677,0,bias
0,2.22,2.71713,-1.15348,-0.597981,1.31359,-0.0990606,13.3587,12.913,13.499,12.9474,-0.0952188,0.133435,0.131652,0.0100297,0.000628651,0,0.362677,0,bias
0,2.24,2.73883,-1.16829,-0.599962,1.30864,-0.100361,13.3123,12.8606,13.1922,12.9474,-0.11682,0.133249,0.131443,0.0100301,0.000628651,0,0.362677,0,bias
0,2.26,2.76042,-1.18309,-0.601969,1.30363,-0.1018,13.2653,12.8072,13.1922,12.9474,-0.0864987,0.133061,0.131229,0.0100305,0.000628651,0,0.362677,0,bias
0,2.28,2.78189,-1.19788,-0.604005,1.29854,-0.103376,13.218,12.7528,13.1922,12.6406,-0.117043,0.132872,0.131011,0.010031,0.000628651,0,0.362677,0,bias
0,2.3,2.80325,-1.21265,-0.606073,1.29338,-0.105088,13.1702,12.6973,13.1922,12.6406,-0.0875002,0.132681,0.130789,0.0100315,0.000628651,0,0.362677,0,bias
0,2.32,2.8245,-1.22741,-0.608174,1.28815,-0.106933,13.1221,12.6409,13.1922,12.6406,-0.0859717,0.132488,0.130563,0.0100321,0.000628651,0,0.362677,0,bias
0,2.34,2.84563,-1.24215,-0.610313,1.28285,-0.108911,13.0736,12.5835,12.8854,12.6406,-0.0934857,0.132294,0.130334,0.0100327,0.000628651,0,0.362677,0,bias
0,2.36,2.86664,-1.25688,-0.612491,1.2775,-0.111019,13.0248,12.5252,12.8854,12.6406,-0.108195,0.132099,0.130101,0.0100333,0.000628651,0,0.362677,0,bias
0,2.38,2.88753,-1.27159,-0.614712,1.27208,-0.113256,12.9756,12.466,13.1922,12.6406,-0.126426,0.131902,0.129864,0.010034,0.000628651,0,0.362677,0,bias
0,2.4,2.90829,-1.28628,-0.616977,1.2666,-0.115619,12.9262,12.4059,13.1922,12.6406,-0.118796,0.131705,0.129624,0.0100347,0.000628651,0,0.362677,0,bias
0,2.42,2.92894,-1.30096,-0.619289,1.26107,-0.118107,12.8765,12.345,12.8854,12.3338,-0.116241,0.131506,0.12938,0.0100354,0.000628651,0,0.362677,0,bias
0,2.44,2.94946,-1.31563,-0.621651,1.25549,-0.120718,12.8265,12.2833,12.8854,12.3338,-0.111948,0.131306,0.129133,0.0100362,0.000628651,0,0.362677,0,bias
0,2.46,2.96985,-1.33028,-0.624066,1.24986,-0.12345,12.7764,12.2208,12.8854,12.3338,-0.115451,0.131105,0.128883,0.010037,0.000628651,0,0.362677,0,bias
0,2.48,2.99012,-1.34491,-0.626535,1.24418,-0.126299,12.726,12.1576,12.8854,12.027,-0.131726,0.130904,0.128631,0.0100379,0.000628651,0,0.362677,0,bias
0,2.5,3.01026,-1.35952,-0.629061,1.23846,-0.129264,12.6754,12.0938,12.8854,12.3338,-0.12636,0.130702,0.128375,0.0100388,0.000628651,0,0.362677,0,bias
